Date,Count_,TotalLengthOfStay,Category,ObjectId
2022-10-01 00:00:00+00:00,63,1625,Single Youth 18 Under,1468
2021-09-01 00:00:00+00:00,62,1494,Single Youth 18 Under,1469
2023-03-01 00:00:00+00:00,1537,42853,Family Household Members,1487
2023-02-01 00:00:00+00:00,366,5854,Single Adult Females,1490
2022-04-01 00:00:00+00:00,1302,35011,Family Household Members,1493
2021-05-01 00:00:00+00:00,329,6304,Single Adult Females,1496
2021-05-01 00:00:00+00:00,831,15261,Single Adult Males,1498
2021-05-01 00:00:00+00:00,52,1199,Single Youth 18 Under,1500
2022-01-01 00:00:00+00:00,1359,36650,Family Household Members,1503
2022-01-01 00:00:00+00:00,349,6642,Single Adult Females,1510
2022-01-01 00:00:00+00:00,957,20400,Single Adult Males,1511
2022-01-01 00:00:00+00:00,69,1760,Single Youth 18 Under,1512
2022-07-01 00:00:00+00:00,1329,36421,Family Household Members,1517
2022-07-01 00:00:00+00:00,340,6095,Single Adult Females,1524
2022-07-01 00:00:00+00:00,972,17950,Single Adult Males,1525
2022-07-01 00:00:00+00:00,50,1164,Single Youth 18 Under,1526
2022-06-01 00:00:00+00:00,1335,34182,Family Household Members,1531
2022-06-01 00:00:00+00:00,344,6041,Single Adult Females,1538
2022-06-01 00:00:00+00:00,967,17363,Single Adult Males,1539
2022-06-01 00:00:00+00:00,56,1270,Single Youth 18 Under,1540
2022-03-01 00:00:00+00:00,1397,37533,Family Household Members,1545
2022-04-01 00:00:00+00:00,350,6343,Single Adult Females,1554
2022-04-01 00:00:00+00:00,997,19605,Single Adult Males,1555
2022-04-01 00:00:00+00:00,65,1593,Single Youth 18 Under,1556
2022-08-01 00:00:00+00:00,1408,38300,Family Household Members,1561
2022-08-01 00:00:00+00:00,359,6401,Single Adult Females,1568
2022-08-01 00:00:00+00:00,984,17825,Single Adult Males,1569
2022-08-01 00:00:00+00:00,63,1425,Single Youth 18 Under,1570
2022-12-01 00:00:00+00:00,1558,42395,Family Household Members,1575
2022-12-01 00:00:00+00:00,335,5953,Single Adult Females,1582
2022-12-01 00:00:00+00:00,1085,19584,Single Adult Males,1583
2022-12-01 00:00:00+00:00,73,1600,Single Youth 18 Under,1584
2022-02-01 00:00:00+00:00,1336,32569,Family Household Members,1589
2022-02-01 00:00:00+00:00,353,6086,Single Adult Females,1596
2022-02-01 00:00:00+00:00,1049,19115,Single Adult Males,1597
2022-02-01 00:00:00+00:00,67,1534,Single Youth 18 Under,1598
2023-03-01 00:00:00+00:00,348,6893,Single Adult Females,1606
2023-03-01 00:00:00+00:00,1079,20021,Single Adult Males,1607
2023-03-01 00:00:00+00:00,52,1339,Single Youth 18 Under,1608
2023-05-01 00:00:00+00:00,1536,41551,Family Household Members,1613
2023-05-01 00:00:00+00:00,365,6661,Single Adult Females,1620
2023-05-01 00:00:00+00:00,1075,18655,Single Adult Males,1621
2023-05-01 00:00:00+00:00,56,1400,Single Youth 18 Under,1622
2023-09-01 00:00:00+00:00,1501,38866,Family Household Members,1627
2023-09-01 00:00:00+00:00,407,7734,Single Adult Females,1634
2023-09-01 00:00:00+00:00,1086,18617,Single Adult Males,1635
2023-09-01 00:00:00+00:00,66,1736,Single Youth 18 Under,1636
